No.,Pokemon,Type 1,Type 2 ,HP,ATK,DEF,SPA,SPD,SPE,BST,ABILITY 1,ABILITY 2,HIDDEN ABILITY,can mega,Pokemon
410,Shieldon,Rock,Steel,30,42,118,42,88,30,350,Sturdy,na,Soundproof,na,Shieldon
411,Bastiodon,Rock,Steel,60,52,168,47,138,30,495,Sturdy,na,Soundproof,na,Bastiodon
412,Burmy,Bug,na,40,29,45,29,45,36,224,Shed Skin,na,Overcoat,na,Burmy
413,Wormadam,Bug,Grass,60,59,85,79,105,36,424,Shed Skin,na,Overcoat,na,Wormadam
413,Wormadam-Sandy,Bug,Ground,60,79,105,59,85,36,424,Shed Skin,na,Overcoat,na,Wormadam-Sandy
413,Wormadam-Trash,Bug,Steel,60,69,95,69,95,36,424,Shed Skin,na,Overcoat,na,Wormadam-Trash
414,Mothim,Bug,Flying,70,94,50,94,50,66,424,Swarm,na,Tinted Lens,na,Mothim
415,Combee,Bug,Flying,30,30,42,30,42,70,244,Honey Gather,na,Hustle,na,Combee
416,Vespiquen,Bug,Flying,70,80,102,80,102,40,474,Pressure,na,Unnerve,na,Vespiquen
417,Pachirisu,Electric,na,60,45,70,45,90,95,405,Run Away,Pickup,Volt Absorb,na,Pachirisu
418,Buizel,Water,na,55,65,35,60,30,85,330,Swift Swim,na,Water Veil,na,Buizel
419,Floatzel,Water,na,85,105,55,85,50,115,495,Swift Swim,na,Water Veil,na,Floatzel
420,Cherubi,Grass,na,45,35,45,62,53,35,275,Chlorophyll,na,na,na,Cherubi
421,Cherrim,Grass,na,70,60,70,87,78,85,450,Flower Gift,na,na,na,Cherrim
422,Shellos,Water,na,76,48,48,57,62,34,325,Sticky Hold,Storm Drain,Sand Force,na,Shellos
423,Gastrodon,Water,Ground,111,83,68,92,82,39,475,Sticky Hold,Storm Drain,Sand Force,na,Gastrodon
424,Ambipom,Normal,na,75,100,66,60,66,115,482,Technician,Pickup,Skill Link,na,Ambipom
425,Drifloon,Ghost,Flying,90,50,34,60,44,70,348,Aftermath,Unburden,Flare Boost,na,Drifloon
426,Drifblim,Ghost,Flying,150,80,44,90,54,80,498,Aftermath,Unburden,Flare Boost,na,Drifblim
427,Buneary,Normal,na,55,66,44,44,56,85,350,Run Away,Klutz,Limber,na,Buneary
428,Lopunny,Normal,na,65,76,84,54,96,105,480,Cute Charm,Klutz,Limber,TRUE,Lopunny
428.1,Mega Lopunny,Normal,Fighting,65,136,94,54,96,135,580,Scrappy,na,na,na,Lopunny_1
429,Mismagius,Ghost,na,60,60,60,105,105,105,495,Levitate,na,na,na,Mismagius
430,Honchkrow,Dark,Flying,100,125,52,105,52,71,505,Insomnia,Super Luck,Moxie,na,Honchkrow
431,Glameow,Normal,na,49,55,42,42,37,85,310,Limber,Own Tempo,Keen Eye,na,Glameow
432,Purugly,Normal,na,71,82,64,64,59,112,452,Thick Fat,Own Tempo,Defiant,na,Purugly
433,Chingling,Psychic,na,45,30,50,65,50,45,285,Levitate,na,na,na,Chingling
434,Stunky,Poison,Dark,63,63,47,41,41,74,329,Stench,Aftermath,Keen Eye,na,Stunky
435,Skuntank,Poison,Dark,103,93,67,71,61,84,479,Stench,Aftermath,Keen Eye,na,Skuntank
436,Bronzor,Steel,Psychic,57,24,86,24,86,23,300,Levitate,Heatproof,Heavy Metal,na,Bronzor
437,Bronzong,Steel,Psychic,67,89,116,79,116,33,500,Levitate,Heatproof,Heavy Metal,na,Bronzong
438,Bonsly,Rock,na,50,80,95,10,45,10,290,Sturdy,Rock Head,Rattled,na,Bonsly
439,Mime Jr.,Psychic,Fairy,20,25,45,70,90,60,310,Soundproof,Filter,Technician,na,Mime Jr.
440,Happiny,Normal,na,100,5,5,15,65,30,220,Natural Cure,Serene Grace,Friend Guard,na,Happiny
441,Chatot,Normal,Flying,76,65,45,92,42,91,411,Keen Eye,Tangled Feet,Big Pecks,na,Chatot
442,Spiritomb,Dark,Ghost,50,92,108,92,108,35,485,Pressure,na,Infiltrator,na,Spiritomb
443,Gible,Dragon,Ground,58,70,45,40,45,42,300,Sand Veil,na,Rough Skin,na,Gible
444,Gabite,Dragon,Ground,68,90,65,50,55,82,410,Sand Veil,na,Rough Skin,na,Gabite
445,Garchomp,Dragon,Ground,108,130,95,80,85,102,600,Sand Veil,na,Rough Skin,TRUE,Garchomp
445.1,Mega Garchomp,Dragon,Ground,108,170,115,120,95,92,700,Sand Force,na,na,na,Garchomp_1
446,Munchlax,Normal,na,135,85,40,40,85,5,390,Pickup,Thick Fat,Gluttony,na,Munchlax
447,Riolu,Fighting,na,40,70,40,35,40,60,285,Steadfast,Inner Focus,Prankster,na,Riolu
448,Lucario,Fighting,Steel,70,110,70,115,70,90,525,Steadfast,Inner Focus,Justified,TRUE,Lucario
448.1,Mega Lucario,Fighting,Steel,70,145,88,140,70,112,625,Adaptability,na,na,na,Lucario_1
449,Hippopotas,Ground,na,68,72,78,38,42,32,330,Sand Stream,na,Sand Force,na,Hippopotas
450,Hippowdon,Ground,na,108,112,118,68,72,47,525,Sand Stream,na,Sand Force,na,Hippowdon
451,Skorupi,Poison,Bug,40,50,90,30,55,65,330,Battle Armor,Sniper,Keen Eye,na,Skorupi
452,Drapion,Poison,Dark,70,90,110,60,75,95,500,Battle Armor,Sniper,Keen Eye,na,Drapion
453,Croagunk,Poison,Fighting,48,61,40,61,40,50,300,Anticipation,Dry Skin,Poison Touch,na,Croagunk
454,Toxicroak,Poison,Fighting,83,106,65,86,65,85,490,Anticipation,Dry Skin,Poison Touch,na,Toxicroak
455,Carnivine,Grass,na,74,100,72,90,72,46,454,Levitate,na,na,na,Carnivine
456,Finneon,Water,na,49,49,56,49,61,66,330,Swift Swim,Storm Drain,Water Veil,na,Finneon
457,Lumineon,Water,na,69,69,76,69,86,91,460,Swift Swim,Storm Drain,Water Veil,na,Lumineon
458,Mantyke,Water,Flying,45,20,50,60,120,50,345,Swift Swim,Water Absorb,Water Veil,na,Mantyke
459,Snover,Grass,Ice,60,62,50,62,60,40,334,Snow Warning,na,Soundproof,na,Snover
460,Abomasnow,Grass,Ice,90,92,75,92,85,60,494,Snow Warning,na,Soundproof,TRUE,Abomasnow
460.1,Mega Abomasnow,Grass,Ice,90,132,105,132,105,30,594,Snow Warning,na,na,na,Abomasnow_1
461,Weavile,Dark,Ice,70,120,65,45,85,125,510,Pressure,na,Pickpocket,na,Weavile
462,Magnezone,Electric,Steel,70,70,115,130,90,60,535,Magnet Pull,Sturdy,Analytic,na,Magnezone
463,Lickilicky,Normal,na,110,85,95,80,95,50,515,Own Tempo,Oblivious,Cloud Nine,na,Lickilicky
464,Rhyperior,Rock,Ground,115,140,130,55,55,40,535,Lightning Rod,Solid Rock,Reckless,na,Rhyperior
465,Tangrowth,Grass,na,100,100,125,110,50,50,535,Chlorophyll,Leaf Guard,Regenerator,na,Tangrowth
466,Electivire,Electric,na,75,123,67,95,85,95,540,Motor Drive,na,Vital Spirit,na,Electivire
467,Magmortar,Fire,na,75,95,67,125,95,83,540,Flame Body,na,Vital Spirit,na,Magmortar
468,Togekiss,Fairy,Flying,85,50,95,120,115,80,545,Hustle,Serene Grace,Super Luck,na,Togekiss
469,Yanmega,Bug,Flying,86,76,86,116,56,95,515,Speed Boost,Tinted Lens,Frisk,na,Yanmega
470,Leafeon,Grass,na,65,110,130,60,65,95,525,Leaf Guard,na,Chlorophyll,na,Leafeon
471,Glaceon,Ice,na,65,60,110,130,95,65,525,Snow Cloak,na,Ice Body,na,Glaceon
472,Gliscor,Ground,Flying,75,95,125,45,75,95,510,Hyper Cutter,Sand Veil,Poison Heal,na,Gliscor
473,Mamoswine,Ice,Ground,110,130,80,70,60,80,530,Oblivious,Snow Cloak,Thick Fat,na,Mamoswine
474,Porygon-Z,Normal,na,85,80,70,135,75,90,535,Adaptability,Download,Analytic,na,Porygon-Z
475,Gallade,Psychic,Fighting,68,125,65,65,115,80,518,Steadfast,Sharpness,Justified,TRUE,Gallade
475.1,Mega Gallade,Psychic,Fighting,68,165,95,65,115,110,618,Inner Focus,na,na,na,Gallade_1
476,Probopass,Rock,Steel,60,55,145,75,150,40,525,Sturdy,Magnet Pull,Sand Force,na,Probopass
477,Dusknoir,Ghost,na,45,100,135,65,135,45,525,Pressure,na,Frisk,na,Dusknoir
478,Froslass,Ice,Ghost,70,80,70,80,70,110,480,Snow Cloak,na,Cursed Body,na,Froslass
479,Rotom,Electric,Ghost,50,50,77,95,77,91,440,Levitate,na,na,na,Rotom
479,Rotom-Frost,Electric,Ice,50,65,107,105,107,86,520,Levitate,na,na,na,Rotom-Frost
479,Rotom-Heat,Electric,Fire,50,65,107,105,107,86,520,Levitate,na,na,na,Rotom-Heat
479,Rotom-Mow,Electric,Grass,50,65,107,105,107,86,520,Levitate,na,na,na,Rotom-Mow
479,Rotom-Fan,Electric,Flying,50,65,107,105,107,86,520,Levitate,na,na,na,Rotom-Fan
479,Rotom-Wash,Electric,Water,50,65,107,105,107,86,520,Levitate,na,na,na,Rotom-Wash
480,Uxie,Psychic,na,75,75,130,75,130,95,580,Levitate,na,na,na,Uxie
481,Mesprit,Psychic,na,80,105,105,105,105,80,580,Levitate,na,na,na,Mesprit
482,Azelf,Psychic,na,75,125,70,125,70,115,580,Levitate,na,na,na,Azelf
483,Dialga,Steel,Dragon,100,120,120,150,100,90,680,Pressure,na,Telepathy,na,Dialga
483,Dialga-Origin,Steel,Dragon,100,100,120,150,120,90,680,Pressure,na,Telepathy,na,Dialga-Origin
484,Palkia,Water,Dragon,90,120,100,150,120,100,680,Pressure,na,Telepathy,na,Palkia
484,Palkia-Origin,Water,Dragon,90,100,100,150,120,120,680,Pressure,na,Telepathy,na,Palkia-Origin
485,Heatran,Fire,Steel,91,90,106,130,106,77,600,Flash Fire,na,Flame Body,na,Heatran
486,Regigigas,Normal,na,110,160,110,80,110,100,670,Slow Start,na,na,na,Regigigas
487,Giratina,Ghost,Dragon,150,100,120,100,120,90,680,Pressure,na,Telepathy,na,Giratina
487,Giratina-Origin,Ghost,Dragon,150,120,100,120,100,90,680,Levitate,na,na,na,Giratina-Origin
488,Cresselia,Psychic,na,120,70,110,75,120,85,580,Levitate,na,na,na,Cresselia
489,Phione,Water,na,80,80,80,80,80,80,480,Hydration,na,na,na,Phione
490,Manaphy,Water,na,100,100,100,100,100,100,600,Hydration,na,na,na,Manaphy
491,Darkrai,Dark,na,70,90,90,135,90,125,600,Bad Dreams,na,na,na,Darkrai
492,Shaymin,Grass,na,100,100,100,100,100,100,600,Natural Cure,na,na,na,Shaymin
492,Shaymin-Sky,Grass,Flying,100,103,75,120,75,127,600,Serene Grace,na,na,na,Shaymin-Sky
493,Arceus,Normal,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus
493,Arceus-Bug,Bug,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus-Bug
493,Arceus-Dark,Dark,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus-Dark
493,Arceus-Dragon,Dragon,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus-Dragon
493,Arceus-Electric,Electric,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus-Electric
493,Arceus-Fairy,Fairy,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus-Fairy
493,Arceus-Fighting,Fighting,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus-Fighting
493,Arceus-Fire,Fire,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus-Fire
493,Arceus-Flying,Flying,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus-Flying
493,Arceus-Ghost,Ghost,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus-Ghost
493,Arceus-Grass,Grass,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus-Grass
493,Arceus-Ground,Ground,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus-Ground
493,Arceus-Ice,Ice,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus-Ice
493,Arceus-Poison,Poison,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus-Poison
493,Arceus-Psychic,Psychic,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus-Psychic
493,Arceus-Rock,Rock,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus-Rock
493,Arceus-Steel,Steel,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus-Steel
493,Arceus-Water,Water,na,120,120,120,120,120,120,720,Multitype,na,na,na,Arceus-Water
494,Victini,Psychic,Fire,100,100,100,100,100,100,600,Victory Star,na,na,na,Victini
495,Snivy,Grass,na,45,45,55,45,55,63,308,Overgrow,na,Contrary,na,Snivy
496,Servine,Grass,na,60,60,75,60,75,83,413,Overgrow,na,Contrary,na,Servine
497,Serperior,Grass,na,75,75,95,75,95,113,528,Overgrow,na,Contrary,na,Serperior
498,Tepig,Fire,na,65,63,45,45,45,45,308,Blaze,na,Thick Fat,na,Tepig
499,Pignite,Fire,Fighting,90,93,55,70,55,55,418,Blaze,na,Thick Fat,na,Pignite
500,Emboar,Fire,Fighting,110,123,65,100,65,65,528,Blaze,na,Reckless,na,Emboar
501,Oshawott,Water,na,55,55,45,63,45,45,308,Torrent,na,Shell Armor,na,Oshawott
502,Dewott,Water,na,75,75,60,83,60,60,413,Torrent,na,Shell Armor,na,Dewott
503,Samurott,Water,na,95,100,85,108,70,70,528,Torrent,na,Shell Armor,na,Samurott
503,Samurott-Hisui,Water,Dark,90,108,80,100,65,85,528,Torrent,na,Sharpness,na,Samurott-Hisui
504,Patrat,Normal,na,45,55,39,35,39,42,255,Run Away,Keen Eye,Analytic,na,Patrat
505,Watchog,Normal,na,60,85,69,60,69,77,420,Illuminate,Keen Eye,Analytic,na,Watchog
506,Lillipup,Normal,na,45,60,45,25,45,55,275,Vital Spirit,Pickup,Run Away,na,Lillipup
507,Herdier,Normal,na,65,80,65,35,65,60,370,Intimidate,Sand Rush,Scrappy,na,Herdier
508,Stoutland,Normal,na,85,110,90,45,90,80,500,Intimidate,Sand Rush,Scrappy,na,Stoutland
509,Purrloin,Dark,na,41,50,37,50,37,66,281,Limber,Unburden,Prankster,na,Purrloin
510,Liepard,Dark,na,64,88,50,88,50,106,446,Limber,Unburden,Prankster,na,Liepard
511,Pansage,Grass,na,50,53,48,53,48,64,316,Gluttony,na,Overgrow,na,Pansage
512,Simisage,Grass,na,75,98,63,98,63,101,498,Gluttony,na,Overgrow,na,Simisage
513,Pansear,Fire,na,50,53,48,53,48,64,316,Gluttony,na,Blaze,na,Pansear
514,Simisear,Fire,na,75,98,63,98,63,101,498,Gluttony,na,Blaze,na,Simisear
515,Panpour,Water,na,50,53,48,53,48,64,316,Gluttony,na,Torrent,na,Panpour
516,Simipour,Water,na,75,98,63,98,63,101,498,Gluttony,na,Torrent,na,Simipour
517,Munna,Psychic,na,76,25,45,67,55,24,292,Forewarn,Synchronize,Telepathy,na,Munna
518,Musharna,Psychic,na,116,55,85,107,95,29,487,Forewarn,Synchronize,Telepathy,na,Musharna
519,Pidove,Normal,Flying,50,55,50,36,30,43,264,Big Pecks,Super Luck,Rivalry,na,Pidove
520,Tranquill,Normal,Flying,62,77,62,50,42,65,358,Big Pecks,Super Luck,Rivalry,na,Tranquill
521,Unfezant,Normal,Flying,80,115,80,65,55,93,488,Big Pecks,Super Luck,Rivalry,na,Unfezant
522,Blitzle,Electric,na,45,60,32,50,32,76,295,Lightning Rod,Motor Drive,Sap Sipper,na,Blitzle
523,Zebstrika,Electric,na,75,100,63,80,63,116,497,Lightning Rod,Motor Drive,Sap Sipper,na,Zebstrika
524,Roggenrola,Rock,na,55,75,85,25,25,15,280,Sturdy,Weak Armor,Sand Force,na,Roggenrola
525,Boldore,Rock,na,70,105,105,50,40,20,390,Sturdy,Weak Armor,Sand Force,na,Boldore
526,Gigalith,Rock,na,85,135,130,60,80,25,515,Sturdy,Sand Stream,Sand Force,na,Gigalith
527,Woobat,Psychic,Flying,65,45,43,55,43,72,323,Unaware,Klutz,Simple,na,Woobat
528,Swoobat,Psychic,Flying,67,57,55,77,55,114,425,Unaware,Klutz,Simple,na,Swoobat
529,Drilbur,Ground,na,60,85,40,30,45,68,328,Sand Rush,Sand Force,Mold Breaker,na,Drilbur
530,Excadrill,Ground,Steel,110,135,60,50,65,88,508,Sand Rush,Sand Force,Mold Breaker,na,Excadrill
531,Audino,Normal,na,103,60,86,60,86,50,445,Healer,Regenerator,Klutz,TRUE,Audino
531.1,Mega Audino,Normal,Fairy,103,60,126,80,126,50,545,Healer,na,na,na,Audino_1
532,Timburr,Fighting,na,75,80,55,25,35,35,305,Guts,Sheer Force,Iron Fist,na,Timburr
533,Gurdurr,Fighting,na,85,105,85,40,50,40,405,Guts,Sheer Force,Iron Fist,na,Gurdurr
534,Conkeldurr,Fighting,na,105,140,95,55,65,45,505,Guts,Sheer Force,Iron Fist,na,Conkeldurr
535,Tympole,Water,na,50,50,40,50,40,64,294,Swift Swim,Hydration,Water Absorb,na,Tympole
536,Palpitoad,Water,Ground,75,65,55,65,55,69,384,Swift Swim,Hydration,Water Absorb,na,Palpitoad
537,Seismitoad,Water,Ground,105,95,75,85,75,74,509,Swift Swim,Poison Touch,Water Absorb,na,Seismitoad
538,Throh,Fighting,na,120,100,85,30,85,45,465,Guts,Inner Focus,Mold Breaker,na,Throh
539,Sawk,Fighting,na,75,125,75,30,75,85,465,Sturdy,Inner Focus,Mold Breaker,na,Sawk
540,Sewaddle,Bug,Grass,45,53,70,40,60,42,310,Swarm,Chlorophyll,Overcoat,na,Sewaddle
541,Swadloon,Bug,Grass,55,63,90,50,80,42,380,Leaf Guard,Chlorophyll,Overcoat,na,Swadloon
542,Leavanny,Bug,Grass,75,103,80,70,80,92,500,Swarm,Chlorophyll,Overcoat,na,Leavanny
543,Venipede,Bug,Poison,30,45,59,30,39,57,260,Poison Point,Swarm,Speed Boost,na,Venipede
544,Whirlipede,Bug,Poison,40,55,99,40,79,47,360,Poison Point,Swarm,Speed Boost,na,Whirlipede
545,Scolipede,Bug,Poison,60,100,89,55,69,112,485,Poison Point,Swarm,Speed Boost,na,Scolipede
546,Cottonee,Grass,Fairy,40,27,60,37,50,66,280,Prankster,Infiltrator,Chlorophyll,na,Cottonee
547,Whimsicott,Grass,Fairy,60,67,85,77,75,116,480,Prankster,Infiltrator,Chlorophyll,na,Whimsicott
548,Petilil,Grass,na,45,35,50,70,50,30,280,Chlorophyll,Own Tempo,Leaf Guard,na,Petilil
549,Lilligant,Grass,na,70,60,75,110,75,90,480,Chlorophyll,Own Tempo,Leaf Guard,na,Lilligant
549,Lilligant-Hisui,Grass,Fighting,70,105,75,50,75,105,480,Chlorophyll,Hustle,Leaf Guard,na,Lilligant-Hisui
550,Basculin,Water,na,70,92,65,80,55,98,460,Reckless,Adaptability,Mold Breaker,na,Basculin
550,Basculin-Blue,Water,na,70,92,65,80,55,98,460,Rock Head,Adaptability,Mold Breaker,na,Basculin-Blue
550,Basculin-White,Water,na,70,92,65,80,55,98,460,Rattled,Adaptability,Mold Breaker,na,Basculin-White
551,Sandile,Ground,Dark,50,72,35,35,35,65,292,Intimidate,Moxie,Anger Point,na,Sandile
552,Krokorok,Ground,Dark,60,82,45,45,45,74,351,Intimidate,Moxie,Anger Point,na,Krokorok
553,Krookodile,Ground,Dark,95,117,80,65,70,92,519,Intimidate,Moxie,Anger Point,na,Krookodile
554,Darumaka,Fire,na,70,90,45,15,45,50,315,Hustle,na,Inner Focus,na,Darumaka
554,Darumaka-Galar,Ice,na,70,90,45,15,45,50,315,Hustle,na,Inner Focus,na,Darumaka-Galar
555,Darmanitan,Fire,na,105,140,55,30,55,95,480,Sheer Force,na,Zen Mode,na,Darmanitan
555,Darmanitan-Galar,Ice,na,105,140,55,30,55,95,480,Gorilla Tactics,na,Zen Mode,na,Darmanitan-Galar
555,Darmanitan-Galar-Zen,Ice,Fire,105,160,55,30,55,135,540,Zen Mode,na,na,na,Darmanitan-Galar-Zen
555,Darmanitan-Zen,Fire,Psychic,105,30,105,140,105,55,540,Zen Mode,na,na,na,Darmanitan-Zen
556,Maractus,Grass,na,75,86,67,106,67,60,461,Water Absorb,Chlorophyll,Storm Drain,na,Maractus
557,Dwebble,Bug,Rock,50,65,85,35,35,55,325,Sturdy,Shell Armor,Weak Armor,na,Dwebble
558,Crustle,Bug,Rock,70,105,125,65,75,45,485,Sturdy,Shell Armor,Weak Armor,na,Crustle
559,Scraggy,Dark,Fighting,50,75,70,35,70,48,348,Shed Skin,Moxie,Intimidate,na,Scraggy
560,Scrafty,Dark,Fighting,65,90,115,45,115,58,488,Shed Skin,Moxie,Intimidate,na,Scrafty
561,Sigilyph,Psychic,Flying,72,58,80,103,80,97,490,Wonder Skin,Magic Guard,Tinted Lens,na,Sigilyph
562,Yamask,Ghost,na,38,30,85,55,65,30,303,Mummy,na,na,na,Yamask
562,Yamask-Galar,Ground,Ghost,38,55,85,30,65,30,303,Wandering Spirit,na,na,na,Yamask-Galar
563,Cofagrigus,Ghost,na,58,50,145,95,105,30,483,Mummy,na,na,na,Cofagrigus
564,Tirtouga,Water,Rock,54,78,103,53,45,22,355,Solid Rock,Sturdy,Swift Swim,na,Tirtouga
565,Carracosta,Water,Rock,74,108,133,83,65,32,495,Solid Rock,Sturdy,Swift Swim,na,Carracosta
566,Archen,Rock,Flying,55,112,45,74,45,70,401,Defeatist,na,na,na,Archen
567,Archeops,Rock,Flying,75,140,65,112,65,110,567,Defeatist,na,na,na,Archeops
568,Trubbish,Poison,na,50,50,62,40,62,65,329,Stench,Sticky Hold,Aftermath,na,Trubbish
569,Garbodor,Poison,na,80,95,82,60,82,75,474,Stench,Weak Armor,Aftermath,na,Garbodor
569,Garbodor-Gmax,Poison,na,80,95,82,60,82,75,474,Stench,Weak Armor,Aftermath,na,Garbodor-Gmax
570,Zorua,Dark,na,40,65,40,80,40,65,330,Illusion,na,na,na,Zorua
570,Zorua-hisui,Normal,Ghost,35,60,40,85,40,70,330,Illusion,na,na,na,Zorua-hisui
571,Zoroark,Dark,na,60,105,60,120,60,105,510,Illusion,na,na,na,Zoroark
571,Zoroark-Hisui,Normal,Ghost,55,100,60,125,60,110,510,Illusion,na,na,na,Zoroark-Hisui
572,Minccino,Normal,na,55,50,40,40,40,75,300,Cute Charm,Technician,Skill Link,na,Minccino
573,Cinccino,Normal,na,75,95,60,65,60,115,470,Cute Charm,Technician,Skill Link,na,Cinccino
574,Gothita,Psychic,na,45,30,50,55,65,45,290,Frisk,Competitive,Shadow Tag,na,Gothita
575,Gothorita,Psychic,na,60,45,70,75,85,55,390,Frisk,Competitive,Shadow Tag,na,Gothorita
576,Gothitelle,Psychic,na,70,55,95,95,110,65,490,Frisk,Competitive,Shadow Tag,na,Gothitelle
577,Solosis,Psychic,na,45,30,40,105,50,20,290,Overcoat,Magic Guard,Regenerator,na,Solosis
578,Duosion,Psychic,na,65,40,50,125,60,30,370,Overcoat,Magic Guard,Regenerator,na,Duosion
579,Reuniclus,Psychic,na,110,65,75,125,85,30,490,Overcoat,Magic Guard,Regenerator,na,Reuniclus
580,Ducklett,Water,Flying,62,44,50,44,50,55,305,Keen Eye,Big Pecks,Hydration,na,Ducklett
581,Swanna,Water,Flying,75,87,63,87,63,98,473,Keen Eye,Big Pecks,Hydration,na,Swanna
582,Vanillite,Ice,na,36,50,50,65,60,44,305,Ice Body,Snow Cloak,Weak Armor,na,Vanillite
583,Vanillish,Ice,na,51,65,65,80,75,59,395,Ice Body,Snow Cloak,Weak Armor,na,Vanillish
584,Vanilluxe,Ice,na,71,95,85,110,95,79,535,Ice Body,Snow Warning,Weak Armor,na,Vanilluxe
585,Deerling,Normal,Grass,60,60,50,40,50,75,335,Chlorophyll,Sap Sipper,Serene Grace,na,Deerling
586,Sawsbuck,Normal,Grass,80,100,70,60,70,95,475,Chlorophyll,Sap Sipper,Serene Grace,na,Sawsbuck
587,Emolga,Electric,Flying,55,75,60,75,60,103,428,Static,na,Motor Drive,na,Emolga
588,Karrablast,Bug,na,50,75,45,40,45,60,315,Swarm,Shed Skin,No Guard,na,Karrablast
589,Escavalier,Bug,Steel,70,135,105,60,105,20,495,Swarm,Shell Armor,Overcoat,na,Escavalier
590,Foongus,Grass,Poison,69,55,45,55,55,15,294,Effect Spore,na,Regenerator,na,Foongus
591,Amoonguss,Grass,Poison,114,85,70,85,80,30,464,Effect Spore,na,Regenerator,na,Amoonguss
592,Frillish,Water,Ghost,55,40,50,65,85,40,335,Water Absorb,Cursed Body,Damp,na,Frillish
593,Jellicent,Water,Ghost,100,60,70,85,105,60,480,Water Absorb,Cursed Body,Damp,na,Jellicent
594,Alomomola,Water,na,165,75,80,40,45,65,470,Healer,Hydration,Regenerator,na,Alomomola
595,Joltik,Bug,Electric,50,47,50,57,50,65,319,Compound Eyes,Unnerve,Swarm,na,Joltik
596,Galvantula,Bug,Electric,70,77,60,97,60,108,472,Compound Eyes,Unnerve,Swarm,na,Galvantula
597,Ferroseed,Grass,Steel,44,50,91,24,86,10,305,Iron Barbs,na,na,na,Ferroseed
598,Ferrothorn,Grass,Steel,74,94,131,54,116,20,489,Iron Barbs,na,Anticipation,na,Ferrothorn
599,Klink,Steel,na,40,55,70,45,60,30,300,Plus,Minus,Clear Body,na,Klink
600,Klang,Steel,na,60,80,95,70,85,50,440,Plus,Minus,Clear Body,na,Klang
601,Klinklang,Steel,na,60,100,115,70,85,90,520,Plus,Minus,Clear Body,na,Klinklang
602,Tynamo,Electric,na,35,55,40,45,40,60,275,Levitate,na,na,na,Tynamo
603,Eelektrik,Electric,na,65,85,70,75,70,40,405,Levitate,na,na,na,Eelektrik
604,Eelektross,Electric,na,85,115,80,105,80,50,515,Levitate,na,na,na,Eelektross
605,Elgyem,Psychic,na,55,55,55,85,55,30,335,Telepathy,Synchronize,Analytic,na,Elgyem
606,Beheeyem,Psychic,na,75,75,75,125,95,40,485,Telepathy,Synchronize,Analytic,na,Beheeyem
607,Litwick,Ghost,Fire,50,30,55,65,55,20,275,Flash Fire,Flame Body,Infiltrator,na,Litwick
608,Lampent,Ghost,Fire,60,40,60,95,60,55,370,Flash Fire,Flame Body,Infiltrator,na,Lampent
609,Chandelure,Ghost,Fire,60,55,90,145,90,80,520,Flash Fire,Flame Body,Infiltrator,na,Chandelure
610,Axew,Dragon,na,46,87,60,30,40,57,320,Rivalry,Mold Breaker,Unnerve,na,Axew
611,Fraxure,Dragon,na,66,117,70,40,50,67,410,Rivalry,Mold Breaker,Unnerve,na,Fraxure
612,Haxorus,Dragon,na,76,147,90,60,70,97,540,Rivalry,Mold Breaker,Unnerve,na,Haxorus
613,Cubchoo,Ice,na,55,70,40,60,40,40,305,Snow Cloak,Slush Rush,Rattled,na,Cubchoo
614,Beartic,Ice,na,95,130,80,70,80,50,505,Snow Cloak,Slush Rush,Swift Swim,na,Beartic
615,Cryogonal,Ice,na,80,50,50,95,135,105,515,Levitate,na,na,na,Cryogonal
616,Shelmet,Bug,na,50,40,85,40,65,25,305,Hydration,Shell Armor,Overcoat,na,Shelmet
617,Accelgor,Bug,na,80,70,40,100,60,145,495,Hydration,Sticky Hold,Unburden,na,Accelgor
618,Stunfisk,Ground,Electric,109,66,84,81,99,32,471,Static,Limber,Sand Veil,na,Stunfisk
618,Stunfisk-Galar,Ground,Steel,109,81,99,66,84,32,471,Mimicry,na,na,na,Stunfisk-Galar
619,Mienfoo,Fighting,na,45,85,50,55,50,65,350,Inner Focus,Regenerator,Reckless,na,Mienfoo
620,Mienshao,Fighting,na,65,125,60,95,60,105,510,Inner Focus,Regenerator,Reckless,na,Mienshao
621,Druddigon,Dragon,na,77,120,90,60,90,48,485,Rough Skin,Sheer Force,Mold Breaker,na,Druddigon
